name;title;purchase_date
Bertha Morse;Cars;1901-03-16
Lunea Byers;Homefront: The Revolution;1906-03-26
Alan Cox;Madden NFL 07;2000-11-11
Cyrus Flynn;SimCity 2000;1980-04-05
Axel Wood;Proteus;1926-04-22
Branden Collins;Syberia 3;1923-07-20
Emerald Pittman;Tiger Woods PGA Tour 10;2011-12-12
Serena James;NCAA March Madness 2005;1957-06-13
Lara Strong;Taz Wanted;2008-02-03
Echo Curtis;Dark Messiah of Might and Magic: Elements;1981-09-28
Rebecca Simon;Nidhogg;1906-02-25
Rylee Lloyd;Old Man's Journey;1919-04-27
Harriet Bush;Forge;1920-12-02
Forrest Ford;Mario Party 5;1902-10-01
Veda Melton;WarioWare D.I.Y. Showcase;2019-08-17
Evelyn Love;Wolfenstein: Youngblood;1947-06-29
Maia Cantu;Xenoraid;1994-04-30
Craig Mccarthy;Advent Rising;1902-08-29
Reuben Jennings;Duel Masters: Kaijudo Showdown;1990-01-18
Ivor Zimmerman;Super Dungeon Bros;2015-11-15
Mara Juarez;Remothered: Broken Porcelain;1968-10-12
Denise Larsen;Pro Evolution Soccer 2017;1966-12-01
Candice Jimenez;Battlefield 1;2003-06-23
Samantha Weaver;Disney/Pixar Ratatouille;1955-11-28
Moana Gamble;Dance Dance Revolution Disney Mix;1928-06-03
Branden Watts;Tomb Raider: Definitive Edition;1984-01-11
Abbot Potts;Borderlands 2: Mr. Torgue's Campaign of Carnage;1941-01-03
Vanna Morgan;Hatsune Miku: Project Mirai DX;1996-04-30
Bradley Meyers;ClaDun x2;1957-06-11
Daquan Ferrell;Skylanders Imaginators;1912-05-19
Madaline Montoya;SpongeBob SquarePants: Lights, Camera, Pants!;1923-10-02
Lunea Chen;Her Story;2010-05-14
Carly Owen;Bayonetta;1925-01-04
Hayden Hamilton;Mega Man X5;1956-06-25
Lucian Anderson;Life is Strange 2: Episode 3 - Wastelands;1902-11-03
Felix Mitchell;Otomedius Excellent;1923-12-01
Keane White;Ghostrunner;1957-11-16
Carlos Rose;Gravity Ghost: Deluxe Edition;2010-06-15
Branden Haney;Twisted Metal: Head-On;1977-11-30
Elton Mack;Sonic Generations;2022-05-03
Isadora Collier;Jon Shafer's At the Gates;1991-05-28
Yuli Gibson;Fatal Frame III: The Tormented;1955-10-21
Samantha Weaver;Dr. Mario Online RX;2011-11-14
Dorian Gaines;Odama;1934-04-11
Curran Aguilar;Divinity II: The Dragon Knight Saga;1998-10-21
Bruno Workman;Here They Lie;1938-01-28
Griffith Weiss;Valiant Hearts: The Great War;1925-12-09
Bradley Meyers;Rad Rodgers;1938-02-18
Ivor Zimmerman;18 Wheeler: American Pro Trucker;1946-11-26
Kay Chambers;Lethal Skies II;1934-04-11
Phoebe Forbes;Lovers in a Dangerous Spacetime;1962-04-14
Griffith Weiss;Tiger Woods PGA Tour 08;2005-08-11
Thor Cooke;Horse Life;2022-04-04
Sophia Fletcher;Jack the Ripper;1945-08-14
Karen Small;Steredenn: Binary Stars;1978-07-04
Dustin Francis;Stranger Things 3: The Game;1902-06-14
Lana Daugherty;Super Monkey Ball 2;1921-08-01
Carly Owen;NARC;1909-11-14
Carlos Mcmillan;DeathSpank;1939-05-09
Barrett Noble;Downforce;1902-01-13
Fulton Oneal;Mario Superstar Baseball;1933-07-19
Sean Collins;Dark Souls II: Crown of the Ivory King;1905-03-24
Lacey Smith;Cast of the Seven Godsends;2005-08-22
Blaze Shelton;Tortuga - Two Treasures;1904-11-23
Ifeoma Bailey;Fallout: New Vegas - Old World Blues;1950-12-31
James Irwin;Final Fantasy VIII Remastered;1965-10-16
Olivia Rocha;Dragon's Dogma: Dark Arisen;1932-05-13
Karly Kent;Forma.8;1921-09-15
Bruno Larsen;Hakuoki: Edo Blossoms;1970-06-15
Ila Shepard;The Sims: Hot Date;1924-08-19
Denise Donovan;Strike Suit Zero: Director's Cut;2016-01-06
Amy Harris;Max Payne;1964-08-24
Isabella Mckay;Top Spin 3;1962-09-13
Vernon Boyle;Castle of Heart;1912-07-26
Victoria Neal;The Escapists;2002-07-02
Priscilla Cervantes;10 Second Ninja X;1969-02-16
Adria Griffin;Pro Race Driver;1966-06-18
Olivia Rocha;Serious Sam: The Random Encounter;1905-02-03
Benedict Blair;Yaiba: Ninja Gaiden Z;2002-08-26
Emery Hull;PlayStation All-Stars Battle Royale;1941-08-23
Thor Meadows;Let It Die;1985-12-23
Raphael Meyers;Coffee Crisis;1931-04-16
Dustin Francis;Transformers: Revenge of the Fallen;1962-04-08
Jescie Schroeder;Thrillville;1905-09-07
Abel Allison;Retro Game Challenge;1959-12-16
Kevin Crosby;Starlink: Battle for Atlas;1936-08-11
Silas Fisher;Star Fox Adventures;1949-01-09
Pearl Bishop;Sherlock Holmes: The Mystery of the Mummy;1975-12-14
Ursa Martin;Earth Defense Force 2025;1932-03-29
Kay Chambers;Nancy Drew: The Ransom of the Seven Ships;1944-10-30
Neil Blackwell;Mugsters;1973-12-22
Leslie Nicholson;Chessmaster;1958-05-23
Rebecca Simon;Counter-Strike: Condition Zero;1917-04-01
Jessamine York;Alpha Protocol;1978-06-23
Demetria Mooney;NCAA Football 2003;1935-11-28
Charity Sutton;World of Van Helsing: Deathtrap;1932-08-31
Sophia Fletcher;Create;2009-03-14
Bertha Rosario;Cities XL 2011;1991-10-03
Yuri Kinney;Hellbound;1941-04-02
Ulysses Hickman;Stranded Sails: Explorers of the Cursed Islands;1951-09-22
Samson Gibson;A Rose in the Twilight;1948-05-03
Desiree Beach;Miami Law;2021-10-05
Garrett Gilmore;Peggle Deluxe;1977-02-03
Sandra Baxter;From Dust;1924-07-11
Brett Vinson;Race the Sun;1985-03-16
Emerson Jackson;Pokemon Mystery Dungeon: Gates to Infinity;1925-12-27
Igor Mcfarland;Rise & Shine;1920-08-10
Candice Jimenez;Don King Presents: Prizefighter;1983-08-10
Lamar Mercado;SingStar Queen;1998-12-03
Harriet Bush;Mr. Driller: Drill Land;1992-05-24
Dennis Lloyd;Virtua Tennis 2009;1983-12-03
Maia Vincent;Capcom Classics Collection Reloaded;2011-10-03
Hu Mason;MouseCraft;2000-05-11
Wesley Ayala;How to Survive 2;1946-05-22
Abel Downs;Tom Clancy's Splinter Cell Double Agent;1928-08-06
Craig Mccarthy;ITTA;1943-09-06
Basil Beach;Dragon Ball Z: Budokai Tenkaichi 2;1921-08-04
Desiree Lindsay;The Last Federation;1954-03-25
Mariam Harrison;Unit 13;1918-02-17
Fuller Underwood;Cat Girl Without Salad: Amuse-Bouche;1976-02-13
Charde Salinas;Disgaea 4 Complete+;1972-10-27
Simon Holland;Spore Hero;1902-12-20
Isabelle Hopkins;AVICII Invector Encore Edition;1979-06-17
Serena James;EyeToy: Groove;1940-01-13
Garrett Gilmore;FOX n FORESTS;1952-12-31
Daquan Cooley;Baldur's Gate: Dark Alliance II;2018-08-11
Lacey Smith;Ninja Blade;2004-12-11
Nita Abbott;Trials of the Blood Dragon;1904-08-07
Jasper Woodard;MLB;1989-12-10
Britanney Hardin;Onimusha: Dawn of Dreams;1929-07-17
Luke Strickland;Okami HD;1943-10-24
Rhiannon Lyons;Ring Fit Adventure;1908-05-13
Wilma Allison;Retro City Rampage;2007-08-21
Montana Tillman;Crash: Mind Over Mutant;1970-01-12
Chadwick Watkins;Metroid Prime 3: Corruption;1928-03-12
Hanna Walker;NHL Hitz 20-03;1988-01-28
Lawrence Dickerson;Cogs;1935-08-03
Kiona Rosario;Mario Kart 7;1946-11-12
Daquan Ferrell;Orcs Must Die!;1904-02-24
Danielle Campbell;Age of Booty;1953-03-26
Elliott Terry;Endless Ocean;2020-10-02
Ulysses Ramos;Ninja Blade;2011-05-13
Cameran Cain;Final Fantasy XI: Chains of Promathia;2004-11-26
Oscar Donovan;Brooktown High;1916-03-13
Nyssa Weeks;Batman: Arkham Asylum;1955-04-14
Aline Kim;Feel the Magic: XY/XX;1958-09-21
Joel Justice;Wreckless: The Yakuza Missions;1955-09-11
Alfreda Melton;Omen of Sorrow;1928-03-28
Faith Bray;Madden NFL 06;1936-07-01
Bradley Meyers;Yu-Gi-Oh! World Championship 2007;1931-04-08
Odessa Travis;Shadow Complex Remastered;1984-10-02
Rosalyn Russell;NBA 2K2;1963-09-15
Ivor Zimmerman;Life is Strange: Episode 5 - Polarized;1932-06-06
Lee Dunlap;'Splosion Man;1985-07-07
Olivia Love;Star Wars Galaxies: Episode III Rage of the Wookiees;2004-09-29
Gloria Haney;inFamous;1949-02-19
Keane White;Saints Row 2;1924-06-10
Justine Ingram;Crash Bandicoot 4: It's About Time;1944-10-13
Gage Gates;Melty Blood Actress Again Current Code;1959-04-14
Hayden Hamilton;Mass Effect: Andromeda;1990-01-27
Lev Kelley;Heroes of Mana;1913-04-23
Samantha Landry;Atom Zombie Smasher;2004-07-14
Gareth Edwards;Mighty Gunvolt;1991-11-19
Jillian Ellis;Fall Guys: Ultimate Knockout;1960-09-07
Zelda Morgan;Final Fantasy XII: The Zodiac Age;1954-04-26
Samson Gibson;Hardwood Hearts;1924-11-15
Leilani Stein;Fallout Tactics: Brotherhood of Steel;2010-09-20
Eric Bond;Condemned 2: Bloodshot;1965-08-25
Keane White;Shadow Hearts: Covenant;1962-01-01
Hu Huff;Samurai Jack: The Shadow of Aku;2022-07-31
Flynn French;Spellbreak;2022-10-22
Branden Watts;The Simpsons: Road Rage;1996-04-30
Veda Melton;VR Ping Pong Pro;1906-05-25
Vanna Phillips;Tony Hawk Ride;1911-10-07
Stone Witt;FlingSmash;1920-11-09
Bruno Larsen;TMNT: Mutant Melee;1999-01-16
Erica Holden;Luftrausers;2018-03-17
Ariana Stout;Horizon Zero Dawn;1928-01-19
Dexter Downs;Bayonetta & Vanquish;2006-07-31
Cassady Merritt;BeachHead 2000;1914-04-20
Elmo Key;Pilotwings Resort;1997-08-30
Deirdre Castaneda;Dragon Ball: Revenge of King Piccolo;1922-11-04
Sandra Baxter;James Bond 007: Agent Under Fire;1939-11-23
Jaden Acevedo;Hearts of Iron;1999-03-15
Todd Roberson;The Darkness;1954-08-24
Danielle Campbell;Hello Neighbor;1931-10-22
Graham Mosley;Wolfenstein;1962-07-23
Candice Atkins;AeroWings 2: Air Strike;1997-09-19
Jescie Schroeder;Need for Speed: Hot Pursuit 2;1948-03-22
Adrienne Burnett;LEGO DC Super-Villains;1966-11-11
James Cannon;Scrolls;1951-07-18
Reuben Jennings;Ace Combat 7: Skies Unknown;1965-08-18
Macaulay Burch;Crash: Mind Over Mutant;2010-09-10
Clarke Davenport;Kinetica;2008-02-02
Alexa Kane;SWAT: Global Strike Team;1913-02-17
Kathleen Puckett;Surge Deluxe;1902-08-28
Naida Rosales;Virtua Athlete 2000;2007-02-20
Neville Baxter;Phoenotopia: Awakening;2020-01-01
Veda Melton;Arktika.1;1912-11-13
Kiona Rosario;Weakless;1931-06-29
Jackson Maddox;Human: Fall Flat;2012-12-28
Eric Bond;Robin Hood: Defender of the Crown;1965-01-14
Gretchen Mcknight;Sports Champions 2;1946-04-22
Boris Galloway;Outtrigger;1918-06-15
Desiree Rush;Nantucket;1905-07-26
Curran Aguilar;Halo: Spartan Assault;2010-04-19
Hanna Foster;Game of Thrones: Episode Five - A Nest of Vipers;1908-05-17
Hiroko Brock;Alter Echo;1989-12-02
Boris Galloway;Hearthstone: Heroes of Warcraft - Goblins Vs. Gnomes;1931-11-20
Hoyt Goodman;Arx Fatalis;1971-09-01
Jasper Woodard;Battlefield 2: Modern Combat;1950-07-11
Clayton Roberts;Motorsport Manager;1902-04-27
Harper Sullivan;Planet 51;1965-09-05
Sean Collins;Chulip;2002-02-05
Angelica Hardy;Pikuniku;2018-11-19
Cameron Johnson;Angry Birds VR: Isle of Pigs;1947-05-21
Neil Blackwell;Genesis Rising: The Universal Crusade;2004-12-09
Benedict Barrett;Scene It? Bright Lights! Big Screen!;1986-09-30
Beck Adams;Small Radios Big Televisions;1919-10-04
Sandra Baxter;Element Space;2005-02-04
Alexa Kane;Bastion;2007-04-25
Rhiannon Lyons;Incoming Forces;1909-01-14
Aladdin Buchanan;Urban Chaos: Riot Response;1978-02-08
Jelani Carter;50 Cent: Blood on the Sand;1968-09-23
Mason Miranda;Marvel vs. Capcom 2;1926-02-03
Desiree Rush;Worms;1987-03-27
Evelyn Love;Middle-earth: Shadow of War;1906-01-06
Portia Tillman;Devil Kings;1967-09-09
Gretchen Mcknight;Calling;1919-03-30
Orla Perez;Tony Hawk's American Wasteland;1997-04-01
Stephanie Pacheco;The Godfather;1909-05-24
Samantha Weaver;Star Trek The Video Game;1913-06-02
Vaughan Howe;Gothic II;1963-07-27
Emerson Jackson;Weakless;1967-10-28
Maia Fitzpatrick;C.O.R.E.;1917-12-02
Cassady Merritt;Sega Genesis Collection;1961-10-03
Harriet Bush;Downwell;1953-09-05
Aline Kim;Wailing Heights;1984-01-27
Kylynn Knight;Need for Speed: Shift;1950-05-12
Lawrence Dickerson;Chaos Code: New Sign of Catastrophe;1903-05-30
Tamara Daugherty;The Bureau: XCOM Declassified;1950-11-13
Macaulay Burch;Maximo vs Army of Zin;2012-02-20
Maryam Chan;Z.H.P. Unlosing Ranger vs Darkdeath Evilman;2012-11-26
Rama Stuart;Warlocks vs Shadows;1972-02-19
Ivana Morgan;Lego Star Wars;2015-01-08
Simon Holland;Mario & Luigi: Paper Jam;1931-11-10
Petra Glass;Crackdown 2;1916-08-19
Sheila Oliver;Yakuza 5 Remastered;1990-02-01
Genevieve Leon;The Sims 3: Pets;2005-07-06
Tyrone Sharp;Predator: Hunting Grounds;1981-12-14
Castor Anderson;Pac-Man World 3;1975-03-29
Barrett Noble;Fast RMX;1981-05-11
Brooke Wallace;The Lord of the Rings: The Battle for Middle-Earth II;1919-11-08
Finn Barrera;Xenoraid;1961-05-02
Imani Romero;The Godfather: The Don's Edition;1906-12-14
Basil Beach;Art of Balance;2011-04-15
Maisie Ballard;Hot Shots Golf 3;2015-05-24
Portia Tillman;The Chronicles of Narnia: The Lion, The Witch and The Wardrobe;1967-01-11
Honorato Olsen;My Time At Portia;1964-12-22
Kevin Crosby;Dynasty Warriors 9;1936-10-13
Skyler Hobbs;Chaos Reborn;1934-04-23
Desiree Rush;Mini Ninjas;1929-10-19
Bert Cantrell;Last Day of June;1974-04-29
Nelle Meadows;NBA Ballers: Rebound;1999-12-23
Jared Gibson;MISSING: An Interactive Thriller - Episode One;1914-07-08
Graiden Garrison;Mirror's Edge;1957-06-19
Joel Justice;The History Channel: Civil War - A Nation Divided;1970-01-27
Sophia Fletcher;Broken Sword: Shadow of the Templars - The Director's Cut;1983-07-24
Neil Blackwell;Cursed Mountain;1910-04-24
Julian Coffey;Hot Wheels: Beat That!;1937-10-05
Daquan Cooley;Dynasty Warriors 9;1949-11-02
Elton Mack;Top Spin 2;1916-03-24
Marsden Blevins;The Gardens Between;1914-04-06
Joseph Reilly;Football Manager 2014;1973-11-05
Silas Fisher;Crimson Tears;1947-01-28
Graham Mosley;Borderlands 2;1904-04-08
Bertha Rosario;Rocky;1992-07-27
Indira Lara;Sprint Vector;1946-07-27
Dorothy Park;Sonic the Hedgehog 2;1931-11-26
Erica Holden;Prisoner of War;1937-06-25
Gary Fuller;Midway Arcade Treasures 2;1965-11-01
Vanna Phillips;Totaled!;2012-08-08
Alexa Kane;ESPN Final Round Golf 2002;1950-09-22
Courtney Porter;Big Beach Sports;1948-04-18
Lamar Mercado;Trine 2;2012-12-06
Heather Durham;Eador: Masters of the Broken World;1997-08-20
Portia Tillman;Harvey Birdman: Attorney at Law;1954-05-12
Maryam Chan;Windward;1987-07-26
Nigel Terry;Effie;1904-11-28
Jael Farrell;Top Spin 3;1903-09-18
Kirsten Cooper;Spelunker HD;1969-04-16
Macaulay Burch;Dragon Ball: Xenoverse;2001-05-02
Hiroko Brock;Alien Hominid;1904-01-26
Amelia Irwin;Dead or Alive 5;1922-02-28
Neil Blackwell;Cranium Kabookii;1922-07-13
Cameran Cain;Pac-Man World 3;1913-10-01
Elmo Key;Kane & Lynch: Dead Men;1919-01-30
Lee Snow;Mafia III;1946-06-19
Ruth Workman;Enter the Gungeon;1901-10-08
Kiona Rosario;Saints Row: The Third;2005-09-11
Candice Atkins;EarthNight;1900-02-12
Quamar Roy;Sonic Adventure 2;1954-07-17
Honorato Olsen;Mutant Year Zero: Road to Eden - Seed of Evil;1931-07-25
Reese Wilcox;Baldur's Gate: Dark Alliance II;1975-02-25
Hayden Hunter;Teenage Mutant Ninja Turtles (2003);1943-09-01
Craig Mccarthy;Armed and Dangerous;1968-01-01
Britanney Hardin;Need for Speed ProStreet;1981-11-09
Charde Salinas;Pistol Whip;1903-08-21
Hanna Walker;Aliens vs. Predator;1967-07-20
Vaughan Howe;NBA 2K14;1996-08-10
Benedict Blair;Gallop Racer 2004;1963-04-13
Walter Nolan;The Italian Job;1919-06-07
Serena James;Aliens Versus Predator: Extinction;1936-10-11
Aline Kim;Achtung! Cthulhu Tactics;1967-07-31
Lara Strong;Modern Combat: Blackout;1984-01-29
Cyrus Duran;Rainbow Moon;2004-01-06
Blaze Shelton;Archangel: Hellfire;1941-10-26
Joy French;Kirby: Triple Deluxe;1986-05-01
Stephen Mosley;Secret Agent Clank;1999-04-10
Samantha Kidd;Rocketbirds: Hardboiled Chicken;1989-09-06
Reuben Jennings;LEGO Pirates of the Caribbean: The Video Game;1987-08-25
Cruz Doyle;Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel;1920-02-23
Carly Owen;Castlevania: Lords of Shadow - Mirror of Fate HD;1934-11-18
Hanna Walker;Art Academy: Lessons for Everyone;2008-08-15
Selma Gilmore;Hitman - Episode 2: Sapienza;1928-09-10
Katelyn Lawrence;NHL 2K9;1965-11-25
Cyrus Duran;MLB The Show 19;2022-01-11
Jack Watkins;Hitman - Intro Pack;1982-12-22
Candice Atkins;Stranger of Sword City;1954-06-27
Abra Hampton;Wild Earth: African Safari;2019-03-28
Nora Wright;Huntdown;1990-06-13
Vaughan Howe;Deadcore;1968-01-11
Angelica George;ToeJam & Earl: Back in the Groove;2020-12-10
Rose Hartman;Suikoden III;1953-02-16
Adrienne Burnett;Evolution Skateboarding;1936-04-25
Azalia Mckenzie;Game of Thrones;2006-11-14
Hayden Hunter;NBA 2K21;1993-02-15
Azalia Mckenzie;The Tales of Bearsworth Manor: Puzzling Pages;1934-03-17
Brielle Dean;Super Monkey Ball: Banana Blitz;2019-12-23
Joy French;Trials Fusion;1901-01-19
Samantha Weaver;Red Dead Redemption;1950-11-16
Angelica George;Shogun: Total War;2021-07-29
Thor Vega;Downward Spiral: Horus Station;2015-09-17
Hadassah Wood;Soul of Darkness;1936-08-06
Barrett Noble;Yoshi's Story;1976-07-14
Megan Rosales;Pro Evolution Soccer 2012;1907-08-03
Ivor Zimmerman;Retro City Rampage;1979-07-12
Gloria Haney;Ballistics;1943-06-04
Buffy Wood;Empire Earth II: The Art of Supremacy;1917-10-28
Bernard Lyons;Baldur's Gate: Siege of Dragonspear;1942-02-19
Asher Burton;KAO the Kangaroo;1930-04-12
Angelica Hardy;Nintendogs + Cats: Toy Poodle & New Friends;1944-10-12
Zelda Morgan;Ratchet & Clank: Size Matters;2011-02-03
Jessamine O'brien;Street Fighter IV;1976-01-16
Bethany Mills;The Elder Scrolls III: Morrowind Game of the Year Edition;1927-02-01
Francis Hodge;Yakuza: Like a Dragon;1984-02-15
Sheila Oliver;Wild Guns Reloaded;2000-05-21
Kylan Sosa;Out of the Park Baseball 17;1929-01-22
Bree Banks;Pokemon: Let's Go, Eevee!;1994-06-28
Adria Griffin;Disney DuckTales Remastered;1942-09-05
Leilani Stein;The Last Blade 2: Heart of the Samurai;1983-04-05
Basil Beach;Batman: The Telltale Series - Episode 5: City of Light;1952-06-16
Harper Sullivan;Blitz: The League II;1953-10-31
Andrew Bryan;Supremacy MMA;2000-08-28
Quemby Case;Your Shape: Fitness Evolved 2013;1960-08-04
Meghan Bullock;Final Fantasy XIV Online;1930-03-06
Benedict Blair;Sang-Froid: Tales of Werewolves;2020-06-01
Azalia Mckenzie;Metal Gear Solid V: Ground Zeroes;1963-01-21
Portia Mcmillan;Football Manager 2019;1909-02-24
Lee Bishop;NASCAR: Dirt to Daytona;1906-01-11
Sybill Hampton;CONSORTIUM;1991-06-28
George Ferguson;Circus Maximus: Chariot Wars;1950-08-09
Craig Mccarthy;The Tomorrow Children;1968-08-05
Orson Weaver;Just Cause 3;1952-10-08
Ferris Willis;NiGHTS into Dreams...;1972-07-22
Cassady Merritt;Life is Strange: Episode 2 - Out of Time;2017-12-08
Desiree Rush;The Godfather;1940-02-22
Lawrence Curry;Freaky Flyers;1921-05-19
Karly Fields;Grim Legends: The Forsaken Bride;1929-09-17
Elton Mack;IndyCar Series;1907-05-21
Imogene Fuller;Rain of Reflections: Chapter 1;1939-08-26
Gary Fuller;Tacoma;2004-06-19
Elton Mack;Fantastic 4;1971-05-24
Kirsten Cooper;Shantae and the Seven Sirens;1978-12-04
Callum Stevenson;Fallen Legion+;1921-11-27
Griffin Whitney;Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep;1952-11-13
Maryam Chan;Battle of Britain II: Wings of Victory;1942-01-31
James Irwin;Trackmania Turbo;1913-08-08
Deirdre Castaneda;Aero Elite: Combat Academy;1996-08-06
Daquan Ferrell;Dead Island: Riptide;1916-07-07
Samantha Landry;Eastshade;1991-05-11
Bruno Larsen;DOOM 3 BFG Edition;1998-03-23
Bernard Lyons;Portal Knights;1953-01-21
Fitzgerald Berg;Halo 2;2000-05-23
Madaline Montoya;CastleStorm;1919-06-06
Jasper Woodard;Nintendo Pocket Football Club;2008-12-03
Aurelia Stephenson;Swords & Soldiers II: Shawarmageddon;1948-03-19
Kitra Knox;NBA Jam: On Fire Edition;2003-11-16
Cameran Cain;Alias (2004);1998-04-23
Aquila Stark;Minecraft Dungeons;1984-10-01
Bert Cantrell;CSI: Crime Scene Investigation: Hard Evidence;2017-03-28
Velma Stuart;Renegade Ops;1914-05-25
Ross Short;Shu;1952-11-24
Walter Nolan;Gas Guzzlers: Combat Carnage;1909-02-21
Ralph Patton;Art of Fighting Anthology;1960-04-22
Carter Bryan;Onimusha: Warlords;1906-02-08
Isabella Mckay;Fantasy Hero: Unsigned Legacy;1955-03-16
Desiree Lindsay;The Walking Dead: A Telltale Games Series - The Complete First Season;1989-09-07
Dorian Gaines;The Last Campfire;1975-06-11
Orson Vincent;Tropico 4: Modern Times;2008-07-04
Harriet Bush;RimWorld;1928-07-12
Macaulay Burch;NHL 2K9;1934-01-27
Blaze Daniels;Summer Heat Beach Volleyball;2022-04-08
Jared Ochoa;Secret Files: Tunguska;1935-05-09
Sophia Fletcher;Resident Evil 2;2011-02-28
Demetria Mooney;Penumbra: Requiem;2006-01-03
Adria Bowers;Wallace & Gromit: Curse of the Were-Rabbit;1927-05-18
Uta Hodge;Unit 13;1902-09-07
Ryder Wood;XGRA: Extreme-G Racing Association;1968-11-17
Honorato Olsen;4x4 Evolution;1912-03-08
Jamal Shepherd;Red Johnson's Chronicles;1975-01-14
Kylie Sellers;Sonic: Lost World;1941-07-29
Sybill Hampton;The Red Solstice;1933-04-24
Carly Hartman;Digimon Story Cyber Sleuth;1934-11-05
Zenia Boyle;Planet Monsters;1913-09-02
Alan Cox;Ultratron;1906-12-12
Lee Bishop;Tales of Berseria;1946-05-17
Felix Parker;Tesla vs Lovecraft;1983-06-13
Todd Roberson;Atari Anniversary Advance;2021-08-14
Cathleen Lewis;Armored Core 4;1936-03-29
Avram Callahan;Warhammer 40,000: Space Marine;1916-04-30
Nicole Vargas;Brian Lara International Cricket 2007;1925-08-20
Haley Duncan;Damage Inc.: Pacific Squadron WWII;1972-06-20
Walter Nolan;Yu-Gi-Oh! Dungeon Dice Monsters;1978-05-13
Stephen Mosley;Rayman Legends;1997-12-03
Nora Wright;CSI: Crime Scene Investigation: Hard Evidence;1941-07-01
Daquan Cooley;JoJo's Bizarre Adventure: Eyes of Heaven;1991-12-06
Gretchen Mcknight;South Park: The Fractured But Whole;1989-10-10
Lawrence Dickerson;Farming Simulator 15;1992-04-20
Lavinia Finch;Grand Theft Auto V;1989-01-29
Serena Palmer;Joggernauts;1992-06-18
James Irwin;Frozen Synapse;1908-08-16
Nyssa Weeks;Batman: Arkham Origins Blackgate - Deluxe Edition;2013-09-19
Ila Shepard;Ultimate Spider-Man;1956-09-08
Xavier Henderson;Romancing SaGa 3;1909-01-09
Neil Blackwell;Test Drive Unlimited 2;2022-08-22
Rhiannon Lyons;Wacky World of Sports;1948-08-06
Kieran Nieves;Max Payne 3;1979-08-09
Marshall Ray;Iron Man;1967-12-26
Vernon Boyle;Prince of Persia: Warrior Within;2018-08-18
Karen Small;Wanted: A Wild Western Adventure;1940-09-28
Kathleen Puckett;Rakuen;1937-10-01
Hayden Hunter;Outlast 2;1933-10-03
Branden Watts;Demon Gaze;2021-08-05
Hu Nguyen;Tears to Tiara II: Heir of the Overlord;1918-11-28
Bruno Larsen;Dariusburst: Chronicle Saviours;1904-12-10
Wylie Franco;Carnival Island;1929-01-19
James Irwin;Sebastien Loeb Rally Evo;1915-09-16
Lana Hudson;X-Men: Mutant Academy;1992-08-29
Nigel Terry;NCAA College Basketball 2K3;1908-12-24
Axel Wood;Shining Tears;1908-01-04
Benedict Barrett;The Lord of the Rings: The Third Age;1919-04-20
Amaya Richardson;Tiger Woods PGA Tour 2001;1978-05-02
Dennis Lloyd;Darkness Within: In Pursuit of Loath Nolder;1922-01-20
Emerson Jackson;Dandy Dungeon: Legend of Brave Yamada;2020-04-08
Rafael Stein;Need for Speed Most Wanted;2013-03-02
Cathleen Lewis;NCAA College Basketball 2K3;1971-12-05
Desiree Rush;Flip Wars;2021-09-10
Ulysses Ramos;Woah Dave!;1979-08-15
Cameron Johnson;Tiger Woods PGA Tour 06;1952-02-25
Rylee Lloyd;Fantasy Strike;1944-02-06
Samson Gibson;inMomentum;2003-12-10
Kay Chambers;SoulCalibur V;1995-10-03
Simon Cooke;MLB Power Pros 2008;1910-08-11
Xavier Henderson;Left 4 Dead;1937-07-21
Jolie Baxter;MilitAnt;1978-05-07
Allistair Atkinson;BeachHead 2000;1941-11-29
Ferris Willis;Super Mario Advance;1943-02-15
Sybill Hampton;Time of Defiance;1926-12-04
Connor Christian;Generation Zero;1988-01-29
Lee Snow;Headlander;2022-01-27
Tamara Daugherty;Rock of Ages 2: Bigger & Boulder;1983-01-16
Kieran Nieves;League of War: VR Arena;1966-03-29
Angelica Hardy;Lichtspeer;1957-07-22
Avram Callahan;Etherlords;1919-07-04
Paloma Miranda;DG2: Defense Grid 2;2001-10-17
Priscilla Hamilton;Spiritfarer;1955-01-21
Macaulay Burch;Tales of the Abyss;1923-10-29
Allistair Atkinson;Faces of War;1924-07-31
Colt Horn;Castlevania Judgment;1991-01-31
Jesse Goodwin;Mechanic Master;1928-09-12
Connor Christian;Galaga Legions;1904-10-11
Maisie Hodge;Fight Night Champion;1942-05-11
Pearl Bishop;Don King Presents: Prizefighter;1978-07-26
Erica Holden;Voodoo Vince Remastered;1944-03-18
Karly Kent;Project: Snowblind;1951-08-16
Abbot Potts;Iron Man 2;1962-01-21
Maisie Hodge;Pyre;1964-11-04
Zeus Mcmillan;WWE SmackDown vs. Raw 2010;1988-02-02
Ryder Wood;WWE SmackDown vs. Raw 2009;1984-03-27
Hu Nguyen;Metal Gear Survive;1910-02-18
Ezra Franklin;The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running;1955-09-19
Nita Abbott;Knowledge is Power;1916-12-05
Jillian Ellis;EyePet;2020-10-09
Abbot Potts;Bulletstorm;1924-01-15
Hanna Walker;Layers of Fear;1985-03-19
Portia Mcmillan;Industry Giant II;1995-06-24
Jonas Whitfield;Jurassic Park: Operation Genesis;1995-12-30
